编码 预测值 真实值
1470 9 9
1471 6 6
1472 8 9
1473 8 8
1474 9 5
1475 6 6
1476 4 4
1477 8 8
1478 8 8
1479 7 7
1480 9 9
1481 8 8
1482 6 6
1483 8 8
1484 6 6
1485 9 9
1486 8 8
1487 9 9
1488 8 8
1489 9 9
1490 8 8
1491 6 6
1492 7 7
1493 6 6
1494 4 4
1495 9 9
1496 9 9
1497 9 9
1498 8 8
1499 1 1
1500 9 9
1501 9 9
1502 2 2
1503 4 4
1504 9 9
1505 3 3
1506 8 8
1507 2 2
1508 8 8
1509 8 8
1510 9 9
1511 9 9
1512 5 8
1513 5 5
1514 7 7
1515 9 9
1516 9 9
1517 2 2
1518 6 6
1519 9 9
1520 1 2
1521 3 3
1522 5 5
1523 8 1
1524 9 9
1525 6 6
1526 9 9
1527 8 8
1528 4 4
1529 9 9
1530 9 9
1531 1 1
1532 8 8
1533 2 2
1534 9 9
1535 2 2
1536 9 9
1537 8 8
1538 5 5
1539 8 8
1540 9 9
1541 8 8
1542 7 7
1543 9 9
1544 8 8
1545 3 3
1546 9 9
1547 3 3
1548 9 9
1549 7 7
1550 8 8
1551 8 8
1552 4 4
1553 2 2
1554 8 8
1555 9 9
1556 7 7
1557 9 9
1558 2 2
1559 7 9
1560 9 9
1561 7 7
1562 2 1
1563 8 8
1564 3 3
1565 9 9
1566 8 8
1567 9 9
1568 9 9
1569 9 9
1570 9 9
1571 4 4
1572 2 2
1573 8 8
1574 5 5
1575 1 2
1576 9 9
1577 2 2
1578 6 6
1579 9 9
1580 7 7
1581 8 9
1582 4 4
1583 1 1
1584 9 9
1585 8 8
1586 8 8
1587 3 3
1588 9 9
1589 8 8
1590 3 3
1591 8 8
1592 9 9
1593 9 9
1594 5 5
1595 9 9
1596 1 1
1597 2 2
1598 7 7
1599 9 9
1600 6 6
1601 8 8
1602 7 7
1603 2 2
1604 2 2
1605 2 2
1606 9 9
1607 4 4
1608 5 5
1609 4 4
1610 4 4
1611 9 9
1612 4 4
1613 8 8
1614 3 3
1615 9 9
1616 5 5
1617 9 9
1618 9 9
1619 9 9
1620 1 1
1621 5 5
1622 5 5
1623 5 5
1624 7 7
1625 9 9
1626 9 9
1627 8 8
1628 6 6
1629 1 1
1630 8 8
1631 8 8
1632 9 9
1633 9 9
1634 9 9
1635 9 9
1636 9 9
1637 9 9
1638 5 5
1639 8 8
1640 4 4
1641 9 9
1642 4 4
1643 9 9
1644 9 9
1645 9 9
1646 5 5
1647 2 2
1648 2 2
1649 5 5
1650 8 8
1651 1 2
1652 5 5
1653 9 9
1654 9 9
1655 9 9
1656 9 9
1657 8 8
1658 9 9
1659 5 5
1660 8 8
1661 9 9
1662 5 5
1663 9 9
1664 7 7
1665 6 6
1666 6 6
1667 9 9
1668 5 5
1669 8 8
1670 6 6
1671 8 8
1672 5 5
1673 9 9
1674 8 8
1675 1 2
1676 4 4
1677 8 8
1678 9 9
1679 8 8
1680 9 9
1681 8 8
1682 9 9
1683 5 5
1684 9 9
1685 2 2
1686 5 5
1687 5 5
1688 8 8
1689 9 9
1690 3 3
1691 3 3
1692 9 9
1693 9 9
1694 5 5
1695 9 9
1696 9 9
1697 7 7
1698 5 5
1699 9 9
1700 9 9
1701 4 4
1702 8 8
1703 9 9
1704 4 4
1705 8 8
1706 9 9
1707 9 9
1708 7 7
1709 9 9
1710 9 9
1711 3 2
1712 9 9
1713 4 4
1714 3 3
1715 3 3
1716 9 9
1717 8 8
1718 9 9
1719 9 9
1720 8 8
1721 9 9
1722 8 8
1723 9 9
1724 9 9
1725 9 9
1726 9 9
1727 2 2
1728 5 5
1729 9 9
1730 9 9
1731 9 9
1732 2 2
1733 8 8
1734 9 9
1735 7 7
1736 7 7
1737 1 1
1738 9 9
1739 4 4
1740 8 8
1741 5 5
1742 9 9
1743 4 4
1744 8 8
1745 9 9
1746 7 7
1747 8 8
1748 2 2
1749 9 9
1750 9 9
1751 5 5
1752 4 4
1753 8 8
1754 8 8
1755 8 8
1756 5 5
1757 9 9
1758 1 1
1759 9 9
1760 7 7
1761 8 8
1762 9 9
1763 2 2
1764 5 5
1765 9 9
1766 8 8
1767 3 3
1768 8 8
1769 9 9
1770 8 8
1771 9 9
1772 9 9
1773 3 3
1774 9 9
1775 9 9
1776 8 8
1777 9 9
1778 8 9
1779 8 8
1780 9 9
1781 8 8
1782 3 3
1783 2 2
1784 2 2
1785 9 9
1786 8 8
1787 5 5
1788 5 5
1789 6 6
1790 3 3
1791 9 7
1792 8 8
1793 9 9
1794 5 5
1795 9 9
1796 4 4
1797 2 2
1798 9 9
1799 7 7
1800 6 6
1801 4 4
1802 9 9
1803 7 7
1804 8 8
1805 9 9
1806 6 6
1807 9 9
1808 8 8
1809 1 2
1810 1 1
1811 3 1
1812 9 9
1813 7 7
1814 8 8
1815 9 9
1816 9 9
1817 4 4
1818 9 9
1819 9 9
1820 4 4
1821 9 9
1822 9 9
1823 7 7
1824 9 9
1825 7 7
1826 4 4
1827 8 8
1828 6 6
1829 5 5
1830 4 4
1831 5 5
1832 9 9
1833 8 8
1834 9 9
1835 8 8
1836 2 2
1837 8 8
1838 9 9
1839 9 9
1840 9 9
1841 8 8
1842 2 2
1843 9 9
1844 8 8
1845 9 9
1846 9 9
1847 9 9
1848 8 8
1849 3 3
1850 9 9
1851 6 6
1852 7 7
1853 6 6
1854 8 8
1855 9 9
1856 5 5
1857 9 9
1858 7 7
1859 8 8
1860 9 9
1861 8 8
1862 9 9
1863 1 2
1864 9 9
1865 5 9
1866 8 8
1867 8 8
1868 2 2
1869 8 8
1870 8 8
1871 9 9
1872 9 9
1873 9 9
1874 8 8
1875 9 9
1876 5 5
1877 7 7
1878 9 9
1879 9 9
1880 9 9
1881 8 8
1882 6 6
1883 5 5
1884 8 8
1885 2 2
1886 9 9
1887 5 5
1888 9 9
1889 9 9
1890 4 4
1891 8 8
1892 9 9
1893 8 8
1894 9 9
1895 4 4
1896 9 9
1897 7 7
1898 9 9
1899 8 8
1900 9 9
1901 4 4
1902 8 8
1903 4 4
1904 9 9
1905 8 8
1906 7 7
1907 6 6
1908 7 7
1909 5 5
1910 6 6
1911 8 8
1912 3 3
1913 5 5
1914 9 9
1915 3 3
1916 7 7
1917 9 9
1918 8 8
1919 7 7
1920 9 9
1921 9 9
1922 9 8
1923 9 9
1924 9 9
1925 7 7
1926 9 9
1927 9 9
1928 8 8
1929 8 8
1930 9 9
1931 9 9
1932 9 9
1933 9 9
1934 8 8
1935 5 5
1936 8 8
1937 9 9
1938 9 9
1939 7 7
1940 9 9
1941 5 5
1942 5 5
1943 8 8
1944 8 8
1945 8 8
1946 9 9
1947 4 4
1948 5 5
1949 9 9
1950 5 5
1951 9 9
1952 9 9
1953 8 8
1954 2 2
1955 9 9
1956 9 9
1957 8 8
1958 9 9
1959 9 9
1960 2 1
1961 5 5
1962 2 1
1963 7 7
1964 9 9
1965 3 3
1966 8 8
1967 6 6
1968 9 9
1969 6 6
1970 7 7
1971 4 4
1972 9 9
1973 8 8
1974 8 8
1975 8 8
1976 8 8
1977 9 9
1978 9 9
1979 9 9
1980 8 8
1981 9 9
1982 9 9
1983 6 6
1984 9 9
1985 9 9
1986 9 9
1987 4 4
1988 8 8
1989 8 8
1990 7 7
1991 5 5
1992 5 5
1993 9 9
1994 8 8
1995 8 8
1996 8 8
1997 2 2
1998 1 1
1999 9 9
2000 8 8
2001 5 5
2002 9 9
2003 9 9
2004 5 5
2005 9 9
2006 9 9
2007 5 5
2008 4 4
2009 8 8
2010 9 9
2011 8 8
2012 5 5
2013 8 8
2014 8 8
2015 5 5
2016 8 8
2017 8 9
2018 4 4
2019 1 2
2020 7 7
2021 3 3
2022 9 9
2023 6 6
2024 9 9
2025 1 1
2026 9 8
2027 8 8
2028 2 2
2029 6 6
2030 8 8
2031 3 3
2032 8 8
2033 1 2
2034 3 3
2035 9 9
2036 8 8
2037 7 7
2038 8 8
2039 8 9
2040 7 7
2041 5 5
2042 9 9
2043 3 3
2044 9 9
2045 9 9
2046 6 6
2047 9 9
2048 5 5
2049 9 9
2050 9 9
2051 6 6
2052 9 9
2053 4 4
2054 9 9
2055 1 1
2056 9 9
2057 9 9
2058 9 9
2059 3 3
2060 8 8
2061 9 9
2062 9 9
2063 4 4
2064 9 9
2065 5 5
2066 5 5
2067 6 6
2068 3 3
2069 4 4
2070 8 8
2071 5 5
2072 3 3
2073 9 9
2074 9 9
2075 9 9
2076 8 8
2077 5 5
2078 5 5
2079 2 2
2080 5 5
2081 1 1
2082 9 9
2083 9 9
2084 6 6
2085 9 9
2086 8 8
2087 9 9
2088 9 9
2089 9 9
2090 9 9
2091 9 9
2092 9 9
2093 8 8
2094 8 8
2095 9 7
2096 2 1
2097 9 9
2098 8 8
2099 9 9
2100 8 8
2101 1 1
2102 9 9
2103 8 8
2104 9 9
2105 8 8
2106 9 9
2107 9 9
2108 4 4
2109 5 5
2110 9 9
2111 4 4
2112 8 8
2113 8 6
2114 9 9
2115 8 8
2116 5 5
2117 5 5
2118 7 7
2119 3 3
2120 8 8
2121 5 5
2122 8 8
2123 2 1
2124 7 9
2125 9 9
2126 9 9
2127 5 5
2128 2 2
2129 9 9
2130 1 2
2131 9 9
2132 9 9
2133 7 7
2134 3 3
2135 5 5
2136 7 7
2137 8 8
2138 9 9
